transaction_id,customer_name,email,country,category,amount,quantity,date,payment_method,rating
TXN-0033,Shelly Dickson,sarayoung@example.org,USA,Books,4433.65,15,2025-12-19,Cash,2
TXN-0034,Sierra Johnson,kimberly63@example.com,Canada,Food,2330.66,17,2024-08-08,Cash,2
TXN-0035,Ashley Brennan,dwalker@example.com,UK,Books,1636.62,8,2024-11-30,Wire Transfer,4
TXN-0036,Shelby Walker,raymondramirez@example.org,Germany,Books,3116.34,4,2025-11-28,Wire Transfer,4
TXN-0037,Martin Ross,sheila14@example.org,UK,Books,668.06,18,2025-07-01,Cash,2
TXN-0038,Deborah Rodriguez,yreed@example.com,UK,Electronics,1997.11,19,2025-03-11,Cash,2
TXN-0039,Kayla Cruz,jonathanfletcher@example.org,Canada,Toys,925.75,9,2025-05-15,Cash,5
TXN-0040,Kimberly Ball,michaeljones@example.net,USA,Clothing,4576.49,15,2026-03-23,Debit Card,1
TXN-0041,Erik Charles,william65@example.com,France,Toys,3193.16,7,2025-09-30,Wire Transfer,5
TXN-0042,Cameron Fisher,lbyrd@example.net,UK,Books,2832.36,19,2025-06-23,Wire Transfer,1
TXN-0043,Joshua Smith,jason99@example.net,France,Books,234.78,17,2024-12-13,Cash,5
TXN-0044,Jeremy Lewis,yleon@example.net,Germany,Clothing,3818.01,7,2024-08-16,Cash,1
TXN-0045,Diane Beck,clarence34@example.org,France,Clothing,3081.17,5,2025-12-24,Cash,2
TXN-0046,Alexander Sanchez,xcarr@example.org,Germany,Clothing,3131.17,1,2025-03-26,Wire Transfer,5
TXN-0047,Mark Lee,psnyder@example.org,Germany,Clothing,137.42,12,2025-08-29,Debit Card,3
TXN-0048,Stephanie Dalton,osbornejeffery@example.net,Germany,Electronics,2293.97,19,2025-05-14,PayPal,5
TXN-0049,Justin Lowery,bryantlaurie@example.net,Germany,Food,4103.03,8,2025-05-24,Debit Card,3
TXN-0050,Linda Dodson DVM,jrivas@example.com,Germany,Toys,351.46,14,2026-03-04,Debit Card,5
TXN-0051,Scott Cole,maryramirez@example.net,UK,Clothing,3416.62,17,2025-04-18,Debit Card,5
TXN-0052,Denise Jones,jimmy55@example.net,Canada,Clothing,121.24,2,2024-06-08,PayPal,1
TXN-0053,David Benson,calebrussell@example.net,Germany,Clothing,3485.2,13,2025-04-03,PayPal,5
TXN-0054,Daniel Fisher,gateskathy@example.com,Germany,Electronics,4018.39,4,2025-04-12,Debit Card,5
TXN-0055,Guy Molina,vmedina@example.net,USA,Food,4952.57,16,2025-12-19,Cash,2
TXN-0056,Connie Robinson,ytucker@example.com,USA,Toys,1196.79,13,2025-09-08,Credit Card,3
TXN-0057,Jennifer Martin,ncalhoun@example.net,USA,Electronics,2673.97,16,2024-04-27,Credit Card,5
TXN-0058,Leslie Alvarado,dayderek@example.com,UK,Food,1949.06,12,2024-08-26,Wire Transfer,1
TXN-0059,James Lewis,matthew64@example.com,UK,Books,1777.75,14,2024-10-19,Cash,3
TXN-0060,Julie Curry,cookemichael@example.net,Canada,Toys,463.06,12,2024-05-30,Credit Card,4
TXN-0061,Marissa Webster,jamessmith@example.org,UK,Toys,3763.11,16,2024-10-09,Credit Card,5
TXN-0062,Michael Elliott,stevenscott@example.com,France,Clothing,4871.37,14,2024-08-15,Debit Card,5
TXN-0063,Tracey Higgins,tamirodriguez@example.org,UK,Toys,1757.82,18,2026-03-29,Cash,1
TXN-0064,Michael Rubio,mdavid@example.org,Canada,Clothing,3093.0,6,2025-07-10,Wire Transfer,2
TXN-0065,Lori Garcia,melissa91@example.net,USA,Clothing,4460.03,2,2025-12-05,Wire Transfer,5
TXN-0066,Joseph Stanley,huntermatthew@example.com,France,Food,2908.62,13,2026-01-05,Credit Card,4
TXN-0067,Jeffrey Cox PhD,bzimmerman@example.org,USA,Electronics,2961.48,4,2025-10-28,Cash,3
TXN-0068,Marie Gilbert,umarshall@example.net,France,Books,2794.23,10,2024-11-01,Debit Card,3
TXN-0069,David Michael,nicole37@example.net,UK,Toys,61.71,8,2025-07-25,Wire Transfer,1
TXN-0070,Gabrielle Snyder,hunter35@example.com,USA,Food,2918.93,17,2024-12-27,Credit Card,1
TXN-0071,Kyle Beard,blackjames@example.org,France,Clothing,65.71,13,2025-10-18,Wire Transfer,5
TXN-0072,Justin Allen,fbrewer@example.com,France,Food,4595.98,4,2025-12-13,PayPal,3
TXN-0073,Edward Sullivan,kevinperkins@example.com,Germany,Electronics,2617.87,9,2025-06-10,Credit Card,1
TXN-0074,Jessica Reese,michael74@example.com,France,Food,4506.28,11,2024-10-19,Cash,2
TXN-0075,Nathan Stewart,jamesrodgers@example.com,Germany,Books,1681.62,4,2025-10-21,Debit Card,2
TXN-0076,Paige Carlson,wallkenneth@example.com,Germany,Clothing,1333.36,5,2024-08-24,Credit Card,4
TXN-0077,Michael Martinez,mccannangela@example.net,UK,Electronics,1402.42,13,2024-07-14,Cash,5
TXN-0078,Nicole Garcia,andrewstaylor@example.com,France,Food,4113.57,18,2024-12-27,PayPal,5
TXN-0079,Anthony Everett,ewilson@example.com,USA,Clothing,418.33,18,2025-04-23,PayPal,5
TXN-0080,Mark Brown,lisaavery@example.org,France,Electronics,3889.12,18,2024-10-16,Credit Card,3
TXN-0081,Phillip Obrien,kimberlyjames@example.com,France,Clothing,1907.55,17,2024-11-23,Wire Transfer,1
TXN-0082,Wanda Torres,lynchjody@example.org,Canada,Electronics,2077.02,1,2025-08-05,Wire Transfer,4
TXN-0083,Matthew Moore,andreamoore@example.com,USA,Toys,4998.59,6,2025-03-22,PayPal,5
TXN-0084,Julie Johnson,jasmine71@example.net,France,Toys,4724.1,10,2024-10-05,PayPal,1
TXN-0085,Rachel Weber,ronaldstephens@example.net,France,Electronics,650.15,19,2024-07-31,Wire Transfer,5
TXN-0086,Samantha Jones,lauralarson@example.net,Germany,Electronics,3360.14,2,2026-03-23,Cash,2
TXN-0087,Caleb Barker,gbender@example.net,Canada,Clothing,2383.67,3,2025-04-25,PayPal,2
TXN-0088,Kyle Preston,cassandra01@example.org,Germany,Electronics,2761.77,5,2025-09-12,PayPal,1
TXN-0089,Laura Sampson,barbara27@example.net,USA,Toys,3103.45,2,2025-08-26,PayPal,3
TXN-0090,Donald Shea,fwalters@example.org,Germany,Clothing,1756.18,2,2025-04-07,Debit Card,3
TXN-0091,Gary Santiago,marksteele@example.com,UK,Clothing,1744.54,6,2025-09-03,Credit Card,4
TXN-0092,Robin Pierce,qmiller@example.com,Canada,Food,3489.72,4,2024-07-06,Debit Card,1
TXN-0093,Jennifer Robertson,sandovalamy@example.com,Canada,Electronics,1294.93,5,2024-05-19,Debit Card,5
TXN-0094,Isaiah Avila,nwolf@example.com,Canada,Toys,1049.61,11,2025-06-07,PayPal,3
TXN-0095,Dwayne Gilmore,omartinez@example.net,USA,Food,698.44,8,2025-12-18,Cash,4
TXN-0096,Christopher Pierce,hdavis@example.com,USA,Food,4372.22,18,2024-07-07,Wire Transfer,2
TXN-0097,Brittany Cantu,william46@example.com,UK,Food,4109.84,18,2025-04-08,Cash,2
TXN-0098,Juan Reyes,michellehill@example.com,France,Toys,2745.83,5,2024-12-26,Credit Card,4
TXN-0099,Katie Hoover,jessica99@example.net,Canada,Clothing,648.1,13,2025-04-22,PayPal,1
TXN-0100,Jill Washington,andrea86@example.com,Canada,Electronics,2408.32,15,2026-04-01,PayPal,5
